Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,e7_0r05c05052051,Ethernet1,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet2,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,San0,True
l2leaf,e7_0r05c05052051,Ethernet3,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,App0,True
l2leaf,e7_0r05c05052051,Ethernet4,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet5,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,San0,True
l2leaf,e7_0r05c05052051,Ethernet6,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,App0,True
l2leaf,e7_0r05c05052051,Ethernet7,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet8,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,San0,True
l2leaf,e7_0r05c05052051,Ethernet9,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,App0,True
l2leaf,e7_0r05c05052051,Ethernet10,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet11,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,San0,True
l2leaf,e7_0r05c05052051,Ethernet12,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,App0,True
l2leaf,e7_0r05c05052051,Ethernet13,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet14,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,San0,True
l2leaf,e7_0r05c05052051,Ethernet15,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,App0,True
l2leaf,e7_0r05c05052051,Ethernet16,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet17,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,San0,True
l2leaf,e7_0r05c05052051,Ethernet18,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,App0,True
l2leaf,e7_0r05c05052051,Ethernet19,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet20,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,San0,True
l2leaf,e7_0r05c05052051,Ethernet21,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,App0,True
l2leaf,e7_0r05c05052051,Ethernet22,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet23,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,San0,True
l2leaf,e7_0r05c05052051,Ethernet24,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,App0,True
l2leaf,e7_0r05c05052051,Ethernet25,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet26,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,San0,True
l2leaf,e7_0r05c05052051,Ethernet27,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,App0,True
l2leaf,e7_0r05c05052051,Ethernet28,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,MGMT0,True
l2leaf,e7_0r05c05052051,Ethernet29,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,San0,True
l2leaf,e7_0r05c05052051,Ethernet30,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,App0,True
l2leaf,e7_0r05c05052051,Ethernet44/1,mlag_peer,e7_0r05c05052052,Ethernet44/1,True
l2leaf,e7_0r05c05052051,Ethernet46/1,network_port,,,True
l2leaf,e7_0r05c05052052,Ethernet1,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet2,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,San1,True
l2leaf,e7_0r05c05052052,Ethernet3,server,UNIX_R5C7U1-2_CAMSYSPIVOT1,App1,True
l2leaf,e7_0r05c05052052,Ethernet4,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet5,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,San1,True
l2leaf,e7_0r05c05052052,Ethernet6,server,UNIX_R5C7U3-4_CAMSYSPIVOT2,App1,True
l2leaf,e7_0r05c05052052,Ethernet7,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet8,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,San1,True
l2leaf,e7_0r05c05052052,Ethernet9,server,UNIX_R5C7U4-5_CAMSYSPIVOT3,App1,True
l2leaf,e7_0r05c05052052,Ethernet10,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet11,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,San1,True
l2leaf,e7_0r05c05052052,Ethernet12,server,UNIX_R5C7U6-7_CAMSYSPIVOT4,App1,True
l2leaf,e7_0r05c05052052,Ethernet13,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet14,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,San1,True
l2leaf,e7_0r05c05052052,Ethernet15,server,UNIX_R5C7U8-9_CAMSYSPIVOT5,App1,True
l2leaf,e7_0r05c05052052,Ethernet16,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet17,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,San1,True
l2leaf,e7_0r05c05052052,Ethernet18,server,UNIX_R5C7U10-11_CAMSYSPIVOT6,App1,True
l2leaf,e7_0r05c05052052,Ethernet19,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet20,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,San1,True
l2leaf,e7_0r05c05052052,Ethernet21,server,UNIX_R5C7U12-13_CAMSYSPIVOT7,App1,True
l2leaf,e7_0r05c05052052,Ethernet22,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet23,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,San1,True
l2leaf,e7_0r05c05052052,Ethernet24,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,App1,True
l2leaf,e7_0r05c05052052,Ethernet25,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet26,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,San1,True
l2leaf,e7_0r05c05052052,Ethernet27,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,App1,True
l2leaf,e7_0r05c05052052,Ethernet28,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet29,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,San1,True
l2leaf,e7_0r05c05052052,Ethernet30,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,App1,True
l2leaf,e7_0r05c05052052,Ethernet44/1,mlag_peer,e7_0r05c05052051,Ethernet44/1,True
l2leaf,e7_0r05c05052052,Ethernet46/1,network_port,,,True
spine,Spine1,Ethernet1/1,l3leaf,WCC1,Ethernet53/1,True
spine,Spine1,Ethernet2/1,l3leaf,WCC2,Ethernet53/1,True
spine,Spine2,Ethernet1/1,l3leaf,WCC1,Ethernet54/1,True
spine,Spine2,Ethernet2/1,l3leaf,WCC2,Ethernet54/1,True
l3leaf,WCC1,Ethernet5,server,Atmospheric Science,A22,True
l3leaf,WCC1,Ethernet49/1,mlag_peer,WCC2,Ethernet49/1,True
l3leaf,WCC1,Ethernet50/1,mlag_peer,WCC2,Ethernet50/1,True
l3leaf,WCC1,Ethernet53/1,spine,Spine1,Ethernet1/1,True
l3leaf,WCC1,Ethernet54/1,spine,Spine2,Ethernet1/1,True
l3leaf,WCC2,Ethernet5,server,Atmospheric Science,B22,True
l3leaf,WCC2,Ethernet49/1,mlag_peer,WCC1,Ethernet49/1,True
l3leaf,WCC2,Ethernet50/1,mlag_peer,WCC1,Ethernet50/1,True
l3leaf,WCC2,Ethernet53/1,spine,Spine1,Ethernet2/1,True
l3leaf,WCC2,Ethernet54/1,spine,Spine2,Ethernet2/1,True
